university,year,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
Nanyang Technological University,2013,87.64375,81.7125,3095.65625,3009.5625,3172.4375,3081.34375,2855.25,3422.0
Nanyang Technological University,2014,87.4969696969697,80.24848484848485,3159.030303030303,3074.242424242424,3257.939393939394,3155.757575757576,2916.4545454545455,3527.242424242424
Nanyang Technological University,2015,88.94545454545454,81.04242424242425,3303.909090909091,3153.939393939394,3433.181818181818,3270.878787878788,2957.6969696969695,3637.151515151515
Nanyang Technological University,2016,87.64117647058823,77.26470588235294,3315.823529411765,3231.323529411765,3404.0,3308.794117647059,3019.3529411764707,3717.264705882353
Nanyang Technological University,2017,86.60571428571428,74.72285714285715,3396.657142857143,3313.057142857143,3491.342857142857,3397.5142857142855,3063.1714285714284,3780.2571428571428
Nanyang Technological University,2018,88.63783783783784,79.0054054054054,3458.972972972973,3410.5945945945946,3569.7297297297296,3472.054054054054,3155.891891891892,3866.4864864864867
Nanyang Technological University,2019,89.64473684210526,79.5657894736842,3594.2631578947367,3526.9210526315787,3699.3947368421054,3614.5263157894738,3293.9473684210525,3971.9473684210525
Nanyang Technological University,2020,93.38250000000001,69.74,3716.475,3638.4,3827.3,3730.825,3400.25,4158.975
Nanyang Technological University,2021,93.21794871794872,81.18461538461538,3837.076923076923,3765.5897435897436,3952.4615384615386,3832.128205128205,3501.8205128205127,4311.410256410257
Nanyang Technological University,2022,93.03658536585365,85.5439024390244,4257.707317073171,4110.4390243902435,4401.048780487805,4228.341463414634,3801.7073170731705,4798.170731707317
National University of Singapore,2013,91.20909090909092,85.50909090909092,3229.242424242424,3119.030303030303,3329.6969696969695,3180.151515151515,2971.6060606060605,3568.3030303030305
National University of Singapore,2014,91.17058823529412,85.87647058823529,3346.1176470588234,3265.6470588235293,3480.3823529411766,3361.0588235294117,3113.676470588235,3709.4411764705883
National University of Singapore,2015,91.08055555555556,85.30833333333334,3439.777777777778,3389.0555555555557,3558.6944444444443,3459.222222222222,3152.5833333333335,3851.4444444444443
National University of Singapore,2016,90.57941176470588,80.77058823529411,3514.9117647058824,3391.9117647058824,3610.0,3502.5882352941176,3191.9411764705883,3922.6176470588234
National University of Singapore,2017,91.18108108108108,80.57837837837837,3596.108108108108,3445.4864864864867,3720.027027027027,3537.2432432432433,3237.135135135135,3992.5945945945946
National University of Singapore,2018,91.03333333333333,80.68484848484849,3676.242424242424,3531.181818181818,3809.2727272727275,3625.181818181818,3280.4545454545455,4156.333333333333
National University of Singapore,2019,92.28055555555555,83.36666666666666,3980.1944444444443,3736.527777777778,4109.361111111111,3853.8055555555557,3473.8055555555557,4487.944444444444
National University of Singapore,2020,93.57435897435897,71.95641025641027,4072.025641025641,3895.3846153846152,4196.846153846154,3995.153846153846,3597.5641025641025,4585.897435897436
National University of Singapore,2021,94.69736842105263,86.25526315789473,4166.210526315789,3967.2105263157896,4304.1578947368425,4100.921052631579,3661.684210526316,4695.236842105263
National University of Singapore,2022,93.43947368421053,86.41842105263159,4649.0,4404.8421052631575,4796.315789473684,4509.8421052631575,3991.1052631578946,5228.6578947368425
Singapore Institute of Technology,2014,92.64583333333333,88.18333333333334,2945.9166666666665,2899.5833333333335,3049.875,2985.25,2769.25,3310.4583333333335
Singapore Institute of Technology,2015,91.384,83.77600000000001,3007.68,2958.8,3172.56,3059.88,2853.12,3373.76
Singapore Institute of Technology,2016,89.29230769230769,78.26153846153846,3166.5384615384614,3122.6923076923076,3275.730769230769,3232.6923076923076,2933.269230769231,3539.423076923077
Singapore Institute of Technology,2017,92.48214285714286,82.61428571428571,3223.3214285714284,3102.6785714285716,3319.3214285714284,3176.535714285714,2929.5714285714284,3551.214285714286
Singapore Institute of Technology,2018,92.425,83.396875,3337.34375,3274.6875,3439.8125,3349.96875,3105.5,3672.90625
Singapore Institute of Technology,2019,90.5,83.14516129032258,3466.2580645161293,3396.7096774193546,3579.483870967742,3493.7741935483873,3228.0,3864.3548387096776
Singapore Institute of Technology,2020,94.91621621621621,68.74864864864864,3537.675675675676,3487.4054054054054,3650.864864864865,3567.9189189189187,3237.5405405405404,3938.5945945945946
Singapore Institute of Technology,2021,95.12727272727273,85.62121212121212,3614.4545454545455,3556.060606060606,3749.181818181818,3650.212121212121,3361.060606060606,4037.060606060606
Singapore Institute of Technology,2022,91.09428571428572,85.58,4030.2047203714287,3914.0857142857144,4185.984350228571,4066.316714285714,3700.1,4555.791
Singapore Management University,2013,94.22500000000001,91.3,3750.0,3493.75,3867.8333333333335,3615.9166666666665,3216.6666666666665,4177.583333333333
Singapore Management University,2014,93.45,88.7,3838.0,3624.1666666666665,3996.25,3785.25,3331.0,4399.083333333333
Singapore Management University,2015,95.75,91.7,3900.3333333333335,3630.5,4046.75,3709.0833333333335,3369.1666666666665,4438.666666666667
Singapore Management University,2016,95.79166666666667,91.14166666666667,3992.0833333333335,3713.9166666666665,4096.916666666667,3835.75,3404.1666666666665,4458.416666666667
Singapore Management University,2017,94.60833333333333,90.19166666666666,4138.666666666667,3849.5,4257.666666666667,3947.0,3435.0,4678.583333333333
Singapore Management University,2018,93.05833333333334,89.0,4210.333333333333,3850.0,4317.0,3954.8333333333335,3501.0833333333335,4711.083333333333
Singapore Management University,2019,94.60833333333333,91.04166666666667,4313.5,3963.8333333333335,4435.583333333333,4104.583333333333,3597.0833333333335,4853.333333333333
Singapore Management University,2020,94.15833333333335,79.56666666666666,4310.75,4005.8333333333335,4406.083333333333,4052.8333333333335,3627.5,4859.083333333333
Singapore Management University,2021,96.85833333333333,90.43333333333334,4602.583333333333,4369.416666666667,4735.916666666667,4514.833333333333,3922.1666666666665,5087.166666666667
Singapore Management University,2022,95.85833333333333,92.11666666666667,5088.5,4711.0,5243.0,4848.25,4286.333333333333,5687.5
Singapore University of Social Sciences,2018,93.56666666666666,88.5,3049.0,3083.3333333333335,3098.3333333333335,3133.3333333333335,2850.0,3248.3333333333335
Singapore University of Social Sciences,2019,88.77499999999999,79.025,3130.75,3100.0,3191.5,3112.5,2858.75,3362.5
Singapore University of Social Sciences,2020,94.65714285714286,59.857142857142854,3159.4285714285716,3059.0,3273.714285714286,3099.714285714286,2907.1428571428573,3493.8571428571427
Singapore University of Social Sciences,2021,93.7,78.55,3431.375,3328.75,3511.625,3350.625,3086.875,3741.25
Singapore University of Social Sciences,2022,93.25,83.52499999999999,3727.25,3670.625,3848.125,3723.5,3446.25,4111.375
Singapore University of Technology and Design,2015,86.26666666666667,81.2,3722.0,3589.3333333333335,3760.0,3683.3333333333335,3309.3333333333335,4116.666666666667
Singapore University of Technology and Design,2016,92.96666666666665,88.36666666666667,3837.3333333333335,3700.0,3917.3333333333335,3750.0,3450.0,4300.0
Singapore University of Technology and Design,2017,93.86666666666667,90.89999999999999,3865.3333333333335,3800.0,3923.0,3824.3333333333335,3550.0,4303.333333333333
Singapore University of Technology and Design,2018,94.275,89.525,3966.75,3925.0,4052.0,3975.0,3675.0,4303.75
Singapore University of Technology and Design,2019,90.725,86.25,4114.25,3999.25,4186.25,4075.0,3640.0,4500.0
Singapore University of Technology and Design,2020,96.675,85.05,4120.5,4012.5,4226.0,4025.0,3681.25,4530.0
Singapore University of Technology and Design,2021,95.075,90.7,4331.25,4275.25,4447.75,4343.75,3870.0,4778.5
Singapore University of Technology and Design,2022,91.55,87.5,4753.75,4437.5,4878.5,4497.5,4100.0,5350.0
