Planning Area,Subzone,Age,Sex,Population
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,4850
Ang Mo Kio,Cheng San,Total,Total,26970
Ang Mo Kio,Chong Boon,Total,Total,25190
Ang Mo Kio,Kebun Bahru,Total,Total,21980
Ang Mo Kio,Sembawang Hills,Total,Total,6950
Ang Mo Kio,Shangri-La,Total,Total,17460
Ang Mo Kio,Tagore,Total,Total,7980
Ang Mo Kio,Townsville,Total,Total,20010
Ang Mo Kio,Yio Chu Kang,Total,Total,10
Ang Mo Kio,Yio Chu Kang East,Total,Total,4380
Ang Mo Kio,Yio Chu Kang North,Total,Total,0
Ang Mo Kio,Yio Chu Kang West,Total,Total,23570
Bedok,Bayshore,Total,Total,8000
Bedok,Bedok North,Total,Total,81550
Bedok,Bedok Reservoir,Total,Total,25190
Bedok,Bedok South,Total,Total,48360
Bedok,Frankel,Total,Total,35030
Bedok,Kaki Bukit,Total,Total,35440
Bedok,Kembangan,Total,Total,35890
Bedok,Siglap,Total,Total,7390
Bishan,Bishan East,Total,Total,27460
Bishan,Marymount,Total,Total,28800
Bishan,Upper Thomson,Total,Total,31670
Boon Lay,Liu Fang,Total,Total,10
Boon Lay,Samulun,Total,Total,0
Boon Lay,Shipyard,Total,Total,0
Boon Lay,Tukang,Total,Total,10
Bukit Batok,Brickworks,Total,Total,31090
Bukit Batok,Bukit Batok Central,Total,Total,27320
Bukit Batok,Bukit Batok East,Total,Total,12070
Bukit Batok,Bukit Batok South,Total,Total,14520
Bukit Batok,Bukit Batok West,Total,Total,14350
Bukit Batok,Gombak,Total,Total,9770
Bukit Batok,Guilin,Total,Total,12830
Bukit Batok,Hillview,Total,Total,20660
Bukit Batok,Hong Kah North,Total,Total,25140
Bukit Merah,Alexandra Hill,Total,Total,12880
Bukit Merah,Alexandra North,Total,Total,2880
Bukit Merah,Bukit Ho Swee,Total,Total,13430
Bukit Merah,Bukit Merah,Total,Total,1000
Bukit Merah,City Terminals,Total,Total,20
Bukit Merah,Depot Road,Total,Total,6530
Bukit Merah,Everton Park,Total,Total,7510
Bukit Merah,Henderson Hill,Total,Total,12770
Bukit Merah,Kampong Tiong Bahru,Total,Total,9800
Bukit Merah,Maritime Square,Total,Total,4820
Bukit Merah,Redhill,Total,Total,10980
Bukit Merah,Singapore General Hospital,Total,Total,0
Bukit Merah,Telok Blangah Drive,Total,Total,19100
Bukit Merah,Telok Blangah Rise,Total,Total,11530
Bukit Merah,Telok Blangah Way,Total,Total,8330
Bukit Merah,Tiong Bahru,Total,Total,12130
Bukit Merah,Tiong Bahru Station,Total,Total,14570
Bukit Panjang,Bangkit,Total,Total,21010
Bukit Panjang,Dairy Farm,Total,Total,7860
Bukit Panjang,Fajar,Total,Total,26420
Bukit Panjang,Jelebu,Total,Total,29960
Bukit Panjang,Nature Reserve,Total,Total,3980
Bukit Panjang,Saujana,Total,Total,25000
Bukit Panjang,Senja,Total,Total,23830
Bukit Timah,Anak Bukit,Total,Total,22960
Bukit Timah,Coronation Road,Total,Total,7480
Bukit Timah,Farrer Court,Total,Total,7330
Bukit Timah,Hillcrest,Total,Total,9870
Bukit Timah,Holland Road,Total,Total,11640
Bukit Timah,Leedon Park,Total,Total,6900
Bukit Timah,Swiss Club,Total,Total,6110
Bukit Timah,Ulu Pandan,Total,Total,11290
Central Water Catchment,Central Water Catchment,Total,Total,0
Changi,Changi Airport,Total,Total,0
Changi,Changi Point,Total,Total,560
Changi,Changi West,Total,Total,1390
Changi Bay,Changi Bay,Total,Total,0
Choa Chu Kang,Choa Chu Kang Central,Total,Total,21980
Choa Chu Kang,Choa Chu Kang North,Total,Total,30790
Choa Chu Kang,Keat Hong,Total,Total,39370
Choa Chu Kang,Peng Siang,Total,Total,33860
Choa Chu Kang,Teck Whye,Total,Total,24560
Choa Chu Kang,Yew Tee,Total,Total,39620
Clementi,Clementi Central,Total,Total,14510
Clementi,Clementi North,Total,Total,30800
Clementi,Clementi West,Total,Total,14540
Clementi,Clementi Woods,Total,Total,18860
Clementi,Faber,Total,Total,8060
Clementi,Pandan,Total,Total,20
Clementi,Sunset Way,Total,Total,5470
Clementi,Toh Tuck,Total,Total,20
Clementi,West Coast,Total,Total,10120
Downtown Core,Anson,Total,Total,80
Downtown Core,Bayfront Subzone,Total,Total,0
Downtown Core,Bugis,Total,Total,1150
Downtown Core,Cecil,Total,Total,540
Downtown Core,Central Subzone,Total,Total,1420
